window,config,start,end,n_years,cagr,sharpe,max_dd,gross_cagr,annual_vol,sortino,turnover_annual,avg_holdings,value_data_coverage,n_days,net_cagr,max_dd_date,total_return,calmar,win_rate,spy_excess_cagr,sector_hhi,sleeve_correlation,allocator_defensive_frac
full_period,trend_only,2008-01-01,2026-03-07,18.18,19.4,0.73,-45.4,,,,,,0.0,,,,,,,,,,
full_period,value_only,2008-01-01,2026-03-07,18.15,19.55,0.952,-31.43,19.8,16.34,1.196,4.2,27.4,99.9,4573.0,19.55,2020-03-23,2454.26,0.622,51.6,8.7,,,
full_period,combined_static,2008-01-01,2026-03-07,18.15,20.49,0.774,-45.64,20.89,21.32,0.974,6.6,43.8,99.9,4573.0,20.49,2009-03-05,2846.64,0.449,56.1,9.65,,,
full_period,combined_allocator,2008-01-01,2026-03-07,18.18,13.3,0.68,-28.1,,,,,,,,,,,,,,,,
full_period,spy_benchmark,2008-01-01,2026-03-07,18.15,10.85,0.344,-51.85,10.85,19.89,,0.0,1.0,,4573.0,10.85,,547.9,,,,,,
last_3yr,trend_only,2023-03-07,2026-03-07,3.0,37.0,1.33,-24.9,,,,,,0.0,,,,,,,,,,
last_3yr,value_only,2023-03-07,2026-03-07,2.99,28.54,1.85,-14.01,28.96,13.26,2.586,6.5,29.3,99.9,753.0,28.54,2025-04-08,111.75,2.038,55.2,7.8,,,
last_3yr,combined_static,2023-03-07,2026-03-07,2.99,39.65,1.91,-20.2,40.16,18.66,2.626,7.3,45.9,99.9,753.0,39.65,2025-04-08,171.26,1.963,55.1,18.91,,,
last_3yr,combined_allocator,2023-03-07,2026-03-07,3.0,24.6,1.21,-18.2,,,,,,,,,,,,,,,,
last_3yr,spy_benchmark,2023-03-07,2026-03-07,2.99,20.74,1.108,-18.76,20.74,15.11,,0.0,1.0,,753.0,20.74,,75.63,,,,,,
last_5yr,trend_only,2021-03-07,2026-03-07,5.0,24.8,0.96,-24.9,,,,,,0.0,,,,,,,,,,
last_5yr,value_only,2021-03-07,2026-03-07,4.98,22.14,1.161,-17.79,22.5,15.63,1.626,5.8,29.6,99.9,1256.0,22.14,2022-10-12,170.96,1.244,54.5,8.55,,,
last_5yr,combined_static,2021-03-07,2026-03-07,4.98,26.01,1.148,-20.2,26.45,19.16,1.627,7.0,45.9,99.9,1256.0,26.01,2025-04-08,216.48,1.287,54.4,12.42,,,
last_5yr,combined_allocator,2021-03-07,2026-03-07,5.0,16.3,0.84,-18.2,,,,,,,,,,,,,,,,
