window,config,date,nav
full_period,value_only,2008-01-02,1.0
full_period,value_only,2008-01-03,1.0
full_period,value_only,2008-01-04,1.0
full_period,value_only,2008-01-07,1.0
full_period,value_only,2008-01-08,1.0
full_period,value_only,2008-01-09,1.0
full_period,value_only,2008-01-10,1.0
full_period,value_only,2008-01-11,1.0
full_period,value_only,2008-01-14,1.0
full_period,value_only,2008-01-15,1.0
full_period,value_only,2008-01-16,1.0
full_period,value_only,2008-01-17,1.0
full_period,value_only,2008-01-18,1.0
full_period,value_only,2008-01-22,1.0
full_period,value_only,2008-01-23,1.0
full_period,value_only,2008-01-24,1.0
full_period,value_only,2008-01-25,1.0
full_period,value_only,2008-01-28,1.0
full_period,value_only,2008-01-29,1.0
full_period,value_only,2008-01-30,1.0
full_period,value_only,2008-01-31,1.0
full_period,value_only,2008-02-01,1.0
full_period,value_only,2008-02-04,1.0
full_period,value_only,2008-02-05,1.0
full_period,value_only,2008-02-06,1.0
full_period,value_only,2008-02-07,1.0
full_period,value_only,2008-02-08,1.0
full_period,value_only,2008-02-11,1.0
full_period,value_only,2008-02-12,1.0
full_period,value_only,2008-02-13,1.0
full_period,value_only,2008-02-14,1.0
full_period,value_only,2008-02-15,1.0
full_period,value_only,2008-02-19,1.0
full_period,value_only,2008-02-20,1.0
full_period,value_only,2008-02-21,1.0
full_period,value_only,2008-02-22,1.0
full_period,value_only,2008-02-25,1.0
full_period,value_only,2008-02-26,1.0
full_period,value_only,2008-02-27,1.0
full_period,value_only,2008-02-28,1.0
full_period,value_only,2008-02-29,1.0
full_period,value_only,2008-03-03,1.0
full_period,value_only,2008-03-04,1.0
full_period,value_only,2008-03-05,1.0
full_period,value_only,2008-03-06,1.0
full_period,value_only,2008-03-07,1.0
full_period,value_only,2008-03-10,1.0
full_period,value_only,2008-03-11,1.0
full_period,value_only,2008-03-12,1.0
full_period,value_only,2008-03-13,1.0
full_period,value_only,2008-03-14,1.0
full_period,value_only,2008-03-17,1.0
full_period,value_only,2008-03-18,1.0
full_period,value_only,2008-03-19,1.0
full_period,value_only,2008-03-20,1.0
full_period,value_only,2008-03-24,1.0
full_period,value_only,2008-03-25,1.0
full_period,value_only,2008-03-26,1.0
full_period,value_only,2008-03-27,1.0
full_period,value_only,2008-03-28,1.0
full_period,value_only,2008-03-31,1.0
full_period,value_only,2008-04-01,1.0
full_period,value_only,2008-04-02,1.0
full_period,value_only,2008-04-03,1.0
full_period,value_only,2008-04-04,1.0
full_period,value_only,2008-04-07,1.0
