ticker,contribution
FTNT,0.055325647921016526
STX,0.04524041365546013
QCOM,0.0398099348802247
DELL,0.02078872987977383
ELV,0.018986198283924106
PWR,0.011488178680752859
EQIX,0.00984589595580762
BK,0.009163881599653383
UNH,0.009019750207969343
AMD,0.008212412961552427
ALL,0.008014604881389983
GM,0.00800942386916305
GILD,0.00666641236266171
AMAT,0.006200747149774713
SNPS,0.006075781043282102
GOOGL,0.005255509599387844
NSC,0.005180527825743099
C,0.005121276782729276
BKNG,0.004473414949363461
MO,0.0042997554871081044
MNST,0.004111971362896593
USB,0.004050139971288178
AAPL,0.003997457862752005
ROST,0.0036779529061318444
JNJ,0.0032902789135248545
CVS,0.0031671343915787974
ABT,0.003033838795717749
AVGO,0.002889250440133276
GOOG,0.002858178483300281
AON,0.002823855718546614
PNC,0.00263771256957408
MDLZ,0.002469487511422374
HOOD,0.002432853387422888
CVX,0.002288244749800494
TFC,0.0022648005013090177
NXPI,0.002134197768480931
MRK,0.001988822739976262
MPC,0.0018347360123303496
GE,0.001660734614829003
WELL,0.0016537902547065695
DLR,0.0016502124878007881
EOG,0.0016462920921420192
LLY,0.0015929170618959763
PFE,0.0015927412613170092
CSX,0.0015094209110318609
LIN,0.0012562852707399875
BA,0.001210157304262996
GEV,0.0011925076206024327
NEE,0.0011162538878212096
AEP,0.001004816409007644
MSI,0.0008059176523344073
BAC,0.0008010340032118697
WFC,0.0007510081314204658
HCA,0.0006921328566688654
REGN,0.0006616721074788964
WDC,0.0005141759183182675
CL,0.0005085273279579383
INTC,0.0003936904754878706
COST,0.00039275797162463116
HON,0.0003172375921926117
JCI,0.00026611130995249734
DE,0.0002354123903527253
APH,0.00023008384282423644
T,0.000190203409128307
UNP,0.00012437722231082427
NOC,8.943862880499083e-05
TRV,6.764741563379691e-05
WMB,5.311390531071538e-05
MMC,0.0
WM,-0.00013736474897710772
KO,-0.00013980248709290246
SBUX,-0.00014896930131535376
AMGN,-0.0001914283382881979
CB,-0.0002345643597590417
SLB,-0.00023828150760531153
PCAR,-0.0002546252037970101
AMZN,-0.00026629605400202037
TJX,-0.0003988587957538823
UPS,-0.0004083487274358986
PM,-0.0004272552291364031
PEP,-0.00043333046209277745
TXN,-0.0006318842213582682
NOW,-0.0006351334156987057
MCD,-0.0006503937051305633
LRCX,-0.0006779845305294603
AMT,-0.0007453269723461295
BMY,-0.0008361420254220946
PANW,-0.0008460388894019433
XOM,-0.0008926868616034747
MCK,-0.0009789045660358166
F,-0.0011140102067315341
DUK,-0.0012338284409540113
KMI,-0.0013605766890981044
CSCO,-0.001366643151848129
RCL,-0.0013872307785675506
DIS,-0.0014747369233369184
BDX,-0.0017183771865866577
ORLY,-0.001733615902383541
NEM,-0.001815256030992655
HLT,-0.002035178416712466
SRE,-0.0022791355566534064
ABNB,-0.0024090532905008647
ADI,-0.0024380734075189646
RTX,-0.0026002099448513677
CME,-0.0028746130008244627
PSX,-0.0029275130489070478
COP,-0.003231635386650752
CAT,-0.003500081857637415
MS,-0.0035785941716020833
CMI,-0.0035953099255954103
PLD,-0.0037426525461791375
MU,-0.003789347064773879
SPG,-0.003792769327715556
SO,-0.0038078085249660643
CRM,-0.003941240049416943
ADBE,-0.003970490031059765
VZ,-0.005072139331757219
COIN,-0.005435383911473222
WBD,-0.005522354899704266
CI,-0.006197439062287656
KLAC,-0.006930835930959834
ADSK,-0.00711449743711042
ACN,-0.0071174128318316114
VRTX,-0.0073868003370223855
GS,-0.007850166152608314
MAR,-0.008448816201708275
LMT,-0.008604365193275974
FDX,-0.009711500468829903
FCX,-0.010248956141295711
NFLX,-0.011891064583640441
CMCSA,-0.012742980270568895
ABBV,-0.012983761122604907
CRWD,-0.015026115242204435
GLW,-0.017307830428094282
