date,n_book,n1,ic1,n5,ic5,n10,ic10,n21,ic21
2026-02-03,7,7,,7,,7,,7,
2026-02-04,7,7,,7,,7,,7,
2026-02-05,7,7,,7,,7,,7,
2026-02-09,13,12,-0.4732672611247145,12,-0.20436540821294488,12,-0.16134111174706176,12,0.03943893842705954
2026-02-10,13,13,0.017055368216583072,13,-0.08527684108291536,13,0.06253635012747127,13,-0.15349831394924768
2026-02-12,8,8,,8,,8,,8,
2026-02-13,13,13,0.034110736433166144,13,0.09096196382177639,13,-0.051166104649749224,13,0.12507270025494255
2026-02-17,8,8,,8,,8,,8,
2026-02-18,5,5,,5,,5,,5,
2026-02-19,13,13,0.24446027777102403,13,-0.18760905038241382,13,-0.18760905038241382,13,0.06822147286633229
2026-02-21,10,0,,0,,0,,0,
2026-02-23,10,10,-0.362677131698819,10,0.10004886391691559,10,0.8566683972885897,10,0.5440156975482284
2026-02-24,10,10,-0.5127504275741923,10,0.30014659175074676,10,0.8128970193249392,10,0.41895461765208397
2026-02-25,10,10,0.2813874297663251,10,0.6315584534755296,10,0.700342047418409,10,0.6315584534755296
2026-02-27,10,10,-0.24386910579748172,10,0.49399126558977063,10,0.47523210360534907,10,0.2876404837611323
2026-03-02,10,10,0.3501710237092045,10,0.5315095895586142,10,0.6628237234495657,10,0.5752809675222647
2026-03-04,10,10,,10,,10,,10,
2026-03-21,10,0,,0,,0,,0,
2026-03-22,10,0,,0,,0,,0,
2026-03-23,20,20,0.04900507428313418,20,0.17995305966265665,20,-0.3759733567951934,20,0.012853789975904046
2026-03-24,31,31,-0.05393436471788135,31,0.25791169895167315,31,-0.14517671104512422,31,-0.12530615562274688
2026-03-25,31,31,0.2948141590218025,31,0.1204398971519606,31,-0.14477118950589205,31,-0.11435707406347774
2026-03-26,31,31,-0.24625202384854883,31,-0.15578381739348066,31,-0.09168526752845475,31,-0.16592599300503538
2026-03-27,31,31,0.41768718540915634,31,-0.10421903558267297,31,-0.25223439740242254,31,-0.16991352493828785
2026-03-30,33,33,-0.0674873809501465,33,-0.16779281498078819,33,-0.06984354886361796,33,0.13632114356513383
2026-03-31,32,32,-0.1169226169678092,32,0.007942610631304574,32,0.06501858005160954,32,0.10861058258621138
2026-04-01,30,30,-0.18023588249454509,30,-0.05002829947803977,30,0.08665616159589032,30,0.1431613391313549
2026-04-02,32,32,0.2575568534262349,32,0.1536497966791702,32,0.038688797724970914,32,-0.09580083246183273
2026-04-03,33,0,,0,,0,,0,
2026-04-06,31,31,-0.49311419170634374,31,-0.1540981849082324,31,0.04582393393323753,31,0.0
2026-04-07,17,17,0.0,17,0.2524509803921569,17,0.14705882352941177,17,0.26470588235294124
2026-04-08,16,16,-0.18823529411764706,16,-0.09999999999999999,16,-0.1264705882352941,16,-0.09411764705882353
2026-04-09,17,17,0.23529411764705882,17,0.13480392156862747,17,0.12745098039215688,17,0.16666666666666669
2026-04-10,17,17,-0.411764705882353,17,-0.05147058823529412,17,-0.2058823529411765,17,-0.04656862745098039
2026-04-13,19,19,0.22456140350877193,19,0.1701754385964912,19,-0.0456140350877193,19,-0.07719298245614034
2026-04-14,18,18,-0.023735810113519093,18,0.17440660474716205,18,0.16615067079463364,18,0.007223942208462332
2026-04-15,18,18,-0.05675954592363261,18,0.038183694530443756,18,-0.19504643962848298,18,-0.3126934984520124
2026-04-16,18,18,-0.23426212590299278,18,-0.09184726522187822,18,-0.25902992776057787,18,-0.391124871001032
2026-04-17,18,18,0.5562435500515995,18,-0.32920536635706915,18,-0.3746130030959752,18,-0.3415892672858617
2026-04-20,19,19,-0.4385964912280701,19,-0.26491228070175443,19,-0.1649122807017544,19,-0.3350877192982456
