date,n_book,n1,ic1,n5,ic5,n10,ic10,n21,ic21
2026-02-03,4,4,-0.39999999999999997,4,-0.7999999999999999,4,0.39999999999999997,4,-0.19999999999999998
2026-02-04,4,4,1.0,4,0.19999999999999998,4,0.19999999999999998,4,-0.39999999999999997
2026-02-05,4,4,-0.39999999999999997,4,-0.19999999999999998,4,0.19999999999999998,4,-0.19999999999999998
2026-02-09,5,5,-0.6,5,0.09999999999999999,5,0.39999999999999997,5,0.49999999999999994
2026-02-10,6,6,0.7142857142857143,6,0.3142857142857143,6,0.6571428571428573,6,0.48571428571428577
2026-02-12,5,5,-0.49999999999999994,5,0.19999999999999998,5,0.49999999999999994,5,0.49999999999999994
2026-02-13,4,4,0.0,4,0.7999999999999999,4,0.6000000000000001,4,0.7999999999999999
2026-02-17,4,4,0.7999999999999999,4,0.7999999999999999,4,0.19999999999999998,4,0.0
2026-02-18,0,0,,0,,0,,0,
2026-02-19,3,3,,3,,3,,3,
2026-02-23,10,10,0.2606060606060606,10,0.2606060606060606,10,-0.17575757575757575,10,0.24848484848484845
2026-02-24,10,10,0.11515151515151514,10,-0.12727272727272726,10,-0.11515151515151514,10,-0.0303030303030303
2026-02-25,9,9,-0.48333333333333334,9,-0.6666666666666667,9,-0.38333333333333336,9,-0.5
2026-02-27,9,9,-0.16666666666666669,9,-0.6666666666666667,9,-0.65,9,-0.6166666666666666
2026-03-02,8,8,-0.7380952380952381,8,-0.38095238095238104,8,-0.523809523809524,8,-0.6666666666666669
2026-03-04,9,9,-0.39999999999999997,9,-0.35,9,-0.13333333333333333,9,0.18333333333333335
2026-03-23,19,19,0.41754385964912283,19,-0.32807017543859646,19,0.2912280701754386,19,0.05964912280701754
2026-03-24,23,23,0.1314229249011858,23,-0.41798418972332013,23,0.5088932806324111,23,0.4782608695652174
2026-03-25,23,23,-0.6314229249011858,23,-0.11264822134387352,23,0.38932806324110675,23,0.4150197628458498
2026-03-26,25,25,0.2723076923076923,25,0.7123076923076922,25,0.78,25,0.5984615384615385
2026-03-27,24,24,-0.6739130434782608,24,0.45217391304347826,24,0.5565217391304348,24,0.4539130434782608
2026-03-30,24,24,0.39652173913043476,24,0.5869565217391304,24,0.6304347826086956,24,0.46434782608695646
2026-03-31,22,22,0.6928289102202146,22,0.6137775268210052,22,0.4624505928853756,22,0.4455110107284021
2026-04-01,24,24,0.15391304347826085,24,0.4591304347826086,24,0.3834782608695652,24,0.32260869565217387
2026-04-02,26,26,0.24717948717948715,26,0.5288888888888889,26,0.44957264957264953,26,0.39487179487179486
2026-04-06,25,25,0.3915384615384615,25,0.4753846153846154,25,0.38,25,0.4692307692307692
2026-04-07,12,12,0.6153846153846154,12,0.5174825174825175,12,0.35664335664335667,12,0.2797202797202798
2026-04-08,15,15,0.11428571428571425,15,0.12142857142857141,15,0.125,15,-0.06428571428571428
2026-04-09,11,11,0.3272727272727273,11,0.3181818181818182,11,0.4000000000000001,11,0.19090909090909092
2026-04-10,14,14,-0.032967032967032975,14,0.49890109890109896,14,0.6395604395604396,14,0.5560439560439561
2026-04-13,14,14,0.178021978021978,14,0.17362637362637365,14,0.08131868131868132,14,0.03736263736263736
2026-04-14,14,14,-0.2923076923076923,14,0.14725274725274726,14,-0.01098901098901099,14,0.015384615384615385
2026-04-15,14,14,0.2351648351648352,14,0.3010989010989011,14,0.24835164835164836,14,0.16483516483516483
2026-04-16,14,14,0.1824175824175824,14,0.015384615384615385,14,0.2043956043956044,14,0.1956043956043956
2026-04-17,13,13,-0.40659340659340654,13,0.2692307692307692,13,0.19780219780219782,13,0.23626373626373626
2026-04-20,16,16,0.5470588235294118,16,0.3294117647058824,16,0.2529411764705882,16,0.29705882352941176
2026-04-21,15,15,0.2178571428571428,15,0.5285714285714286,15,0.36785714285714277,15,0.23928571428571427
2026-04-22,13,13,-0.03846153846153846,13,-0.027472527472527472,13,0.1868131868131868,13,-0.03846153846153846
2026-04-23,11,11,-0.018181818181818184,11,0.18181818181818182,11,0.39090909090909093,11,0.39090909090909093
2026-04-24,13,13,0.23626373626373626,13,0.34615384615384615,13,0.5054945054945055,13,0.5604395604395606
2026-04-27,14,14,-0.4769230769230769,14,0.0945054945054945,14,0.45494505494505494,14,0.5736263736263736
2026-04-28,12,12,0.3706293706293707,12,0.6363636363636365,12,0.5104895104895105,12,0.4545454545454546
2026-04-29,12,12,0.2867132867132868,12,0.6993006993006995,12,0.6153846153846154,12,0.46153846153846156
2026-04-30,11,11,0.24545454545454545,11,0.36363636363636365,11,0.6636363636363638,11,0.10909090909090911
2026-05-01,11,11,0.45454545454545453,11,0.6000000000000001,11,0.8727272727272729,11,0.6727272727272727
2026-05-04,12,12,0.9020979020979022,12,0.8181818181818183,12,0.18881118881118883,12,0.6923076923076924
2026-05-05,12,12,0.4825174825174825,12,0.4755244755244756,12,-0.08391608391608392,12,0.6573426573426573
2026-05-06,12,12,-0.5034965034965035,12,0.5594405594405596,12,-0.1328671328671329,12,0.027972027972027972
2026-05-07,12,12,0.4055944055944056,12,0.4545454545454546,12,-0.034965034965034975,12,0.4545454545454546
2026-05-08,11,11,0.4727272727272727,11,0.24545454545454545,11,-0.13636363636363638,11,0.045454545454545456
2026-05-11,13,13,-0.6648351648351648,13,-0.6208791208791209,13,0.15934065934065936,13,-0.016483516483516484
2026-05-12,13,13,0.33516483516483514,13,-0.6483516483516483,13,0.08241758241758242,13,0.14285714285714285
2026-05-13,14,14,-0.18681318681318684,14,-0.5164835164835165,14,0.059340659340659345,14,0.3538461538461538
2026-05-14,14,14,-0.3142857142857143,14,-0.5120879120879122,14,0.03736263736263736,14,-0.01978021978021978
2026-05-15,13,13,-0.7527472527472527,13,-0.06043956043956044,13,0.47802197802197804,13,0.39010989010989006
2026-05-18,12,12,-0.15384615384615385,12,0.5174825174825175,12,0.3426573426573427,12,0.18881118881118883
2026-05-19,12,12,0.2797202797202798,12,0.1188811188811189,12,0.31468531468531474,12,0.30069930069930073
2026-05-20,11,11,-0.13636363636363638,11,0.20909090909090913,11,0.26363636363636367,11,0.3090909090909091
2026-05-21,13,13,-0.09890109890109891,13,0.23626373626373626,13,0.3131868131868132,13,0.0
2026-05-22,11,11,0.8181818181818182,11,0.02727272727272728,11,0.4090909090909091,11,0.14545454545454548
2026-05-26,13,13,0.08241758241758242,13,0.24175824175824176,13,0.35714285714285715,13,0.5824175824175823
2026-05-27,15,15,-0.08214285714285713,15,0.2571428571428571,15,-0.2642857142857143,15,0.13214285714285715
2026-05-28,15,15,0.10714285714285714,15,0.4107142857142856,15,0.12857142857142856,15,0.1714285714285714
2026-05-29,13,13,0.4450549450549451,13,-0.14285714285714285,13,0.07692307692307691,13,0.2582417582417582
2026-06-01,14,14,0.15604395604395604,14,-0.13406593406593406,14,0.27912087912087913,14,-0.3274725274725274
