date,n,n_unique_w,frac_tied,cv_weight,top5_unique,book_flat,label
2026-02-03,7,1,1.0,0.0,1,1,full_93d
2026-02-04,7,1,1.0,0.0,1,1,full_93d
2026-02-05,7,1,1.0,0.0,1,1,full_93d
2026-02-09,13,7,0.615,0.28,3,0,full_93d
2026-02-10,13,7,0.615,0.241,3,0,full_93d
2026-02-12,8,1,1.0,0.0,1,1,full_93d
2026-02-13,13,7,0.615,0.276,3,0,full_93d
2026-02-17,8,1,1.0,0.0,1,1,full_93d
2026-02-18,5,1,1.0,0.0,1,1,full_93d
2026-02-19,13,7,0.615,0.195,3,0,full_93d
2026-02-21,10,1,1.0,0.0,1,1,full_93d
2026-02-23,10,7,0.4,0.156,2,0,full_93d
2026-02-24,10,7,0.4,0.157,2,0,full_93d
2026-02-25,10,7,0.4,0.148,2,0,full_93d
2026-02-27,10,7,0.4,0.143,2,0,full_93d
2026-03-02,10,7,0.4,0.154,2,0,full_93d
2026-03-04,10,1,1.0,0.0,1,1,full_93d
2026-03-21,10,1,1.0,0.0,1,1,full_93d
2026-03-22,10,1,1.0,0.0,1,1,full_93d
2026-03-23,20,11,0.5,0.344,1,0,full_93d
2026-03-24,31,25,0.226,0.444,5,0,full_93d
2026-03-25,31,25,0.226,0.461,5,0,full_93d
2026-03-26,31,23,0.323,0.963,3,0,full_93d
2026-03-27,31,25,0.226,0.574,5,0,full_93d
2026-03-30,33,26,0.242,0.521,5,0,full_93d
2026-03-31,32,25,0.25,0.521,5,0,full_93d
2026-04-01,30,25,0.2,0.468,5,0,full_93d
2026-04-02,32,26,0.219,0.711,5,0,full_93d
2026-04-03,33,26,0.242,0.478,5,0,full_93d
2026-04-06,31,25,0.226,0.492,5,0,full_93d
2026-04-07,17,16,0.118,0.312,5,0,full_93d
2026-04-08,16,16,0.0,0.331,5,0,full_93d
2026-04-09,17,17,0.0,0.318,5,0,full_93d
2026-04-10,17,17,0.0,0.326,5,0,full_93d
2026-04-13,19,19,0.0,0.416,5,0,full_93d
2026-04-14,18,18,0.0,0.401,5,0,full_93d
2026-04-15,18,18,0.0,0.397,5,0,full_93d
2026-04-16,18,18,0.0,0.399,5,0,full_93d
2026-04-17,18,18,0.0,0.393,5,0,full_93d
2026-04-20,19,19,0.0,0.359,5,0,full_93d
2026-04-21,19,19,0.0,0.423,5,0,full_93d
2026-04-22,17,17,0.0,0.377,5,0,full_93d
2026-04-23,18,18,0.0,0.385,5,0,full_93d
2026-04-24,19,19,0.0,0.428,5,0,full_93d
2026-04-27,18,18,0.0,0.424,5,0,full_93d
2026-04-28,18,18,0.0,0.391,5,0,full_93d
2026-04-29,17,17,0.0,0.318,5,0,full_93d
2026-04-30,16,16,0.0,0.355,5,0,full_93d
2026-05-01,17,17,0.0,0.37,5,0,full_93d
2026-05-04,16,16,0.0,0.417,5,0,full_93d
2026-05-05,16,16,0.0,0.399,5,0,full_93d
2026-05-06,17,17,0.0,0.299,5,0,full_93d
2026-05-07,17,17,0.0,0.295,5,0,full_93d
2026-05-08,16,16,0.0,0.317,5,0,full_93d
2026-05-11,18,17,0.111,0.324,5,0,full_93d
2026-05-12,17,17,0.0,0.413,5,0,full_93d
2026-05-13,19,18,0.105,0.342,5,0,full_93d
2026-05-14,18,17,0.111,0.396,5,0,full_93d
2026-05-15,17,17,0.0,0.389,5,0,full_93d
2026-05-18,18,18,0.0,0.258,5,0,full_93d
2026-05-19,19,19,0.0,0.22,5,0,full_93d
2026-05-20,17,17,0.0,0.357,5,0,full_93d
2026-05-21,18,18,0.0,0.264,5,0,full_93d
2026-05-22,17,17,0.0,0.459,5,0,full_93d
2026-05-25,17,17,0.0,0.445,5,0,full_93d
2026-05-26,17,17,0.0,0.445,5,0,full_93d
2026-05-27,18,18,0.0,0.224,5,0,full_93d
2026-05-28,18,17,0.111,0.316,5,0,full_93d
2026-05-29,16,16,0.0,0.511,5,0,full_93d
2026-06-01,17,17,0.0,0.486,5,0,full_93d
2026-06-02,17,17,0.0,0.464,5,0,full_93d
2026-06-03,17,16,0.118,0.384,4,0,full_93d
2026-06-04,17,17,0.0,0.33,5,0,full_93d
2026-06-08,16,15,0.125,0.345,4,0,full_93d
2026-06-09,16,15,0.125,0.368,4,0,full_93d
2026-06-11,13,11,0.231,0.323,3,0,full_93d
2026-06-12,16,16,0.0,0.259,5,0,full_93d
2026-06-15,16,16,0.0,0.29,5,0,full_93d
2026-06-16,16,13,0.312,0.433,3,0,full_93d
2026-06-18,17,17,0.0,0.298,5,0,full_93d
2026-06-19,17,17,0.0,0.291,5,0,full_93d
2026-06-22,17,17,0.0,0.291,5,0,full_93d
2026-06-23,17,17,0.0,0.298,5,0,full_93d
2026-06-24,17,17,0.0,0.305,5,0,full_93d
2026-06-25,17,17,0.0,0.29,5,0,full_93d
2026-06-26,14,14,0.0,0.333,5,0,full_93d
2026-06-29,17,16,0.118,0.356,5,0,full_93d
2026-06-30,18,18,0.0,0.394,5,0,full_93d
2026-07-01,18,18,0.0,0.369,5,0,full_93d
2026-07-02,18,18,0.0,0.39,5,0,full_93d
2026-07-03,18,18,0.0,0.457,5,0,full_93d
2026-07-06,18,18,0.0,0.457,5,0,full_93d
2026-07-07,18,18,0.0,0.345,5,0,full_93d
