label,horizon,n_days,mean_ic,se_iid,se_hac,t_hac,n_sub,t_subsample,frac_pos,sign_test_p,mde_ic_80pct
live_4sleeve_73d,1,69,0.0125,0.0369,0.0336,0.37,69,0.34,0.507,1.0,0.0941
live_4sleeve_73d,5,68,0.0338,0.0316,0.046,0.74,14,0.53,0.529,0.7163,0.1287
live_4sleeve_73d,10,63,0.0298,0.0293,0.0608,0.49,7,0.49,0.476,0.8013,0.1701
live_4sleeve_73d,21,53,-0.0073,0.0254,0.0389,-0.19,3,-2.42,0.509,1.0,0.1091
live_full_93d,1,79,0.0031,0.0345,0.0314,0.1,79,0.09,0.519,0.8221,0.0879
live_full_93d,5,78,0.0532,0.0304,0.0462,1.15,16,0.59,0.551,0.4282,0.1293
live_full_93d,10,73,0.064,0.0334,0.0591,1.08,8,0.21,0.493,1.0,0.1654
live_full_93d,21,63,0.0343,0.0279,0.0466,0.74,3,0.31,0.571,0.3135,0.1306
live_matched_to_mom_4sleeve,1,53,0.0188,0.04,0.036,0.52,53,0.47,0.528,0.7838,0.1007
live_matched_to_mom_4sleeve,5,53,0.0053,0.0326,0.0427,0.12,11,0.32,0.415,0.2717,0.1196
live_matched_to_mom_4sleeve,10,53,-0.0149,0.0297,0.0567,-0.26,6,-0.13,0.434,0.4101,0.1588
live_matched_to_mom_4sleeve,21,53,-0.0147,0.0261,0.039,-0.38,3,-12.85,0.491,1.0,0.1092
momentum_on_livebooks_4sleeve,1,53,0.0656,0.0562,0.0572,1.15,53,1.17,0.604,0.169,0.1602
momentum_on_livebooks_4sleeve,5,53,0.2029,0.0535,0.0836,2.43,11,0.79,0.755,0.0003,0.2341
momentum_on_livebooks_4sleeve,10,53,0.3037,0.0328,0.0493,6.17,6,2.41,0.887,0.0,0.1379
momentum_on_livebooks_4sleeve,21,53,0.2423,0.0368,0.0658,3.68,3,3.39,0.811,0.0,0.1842
live_matched_to_mom_full,1,63,0.0067,0.0371,0.0334,0.2,63,0.18,0.54,0.6147,0.0936
live_matched_to_mom_full,5,63,0.0338,0.032,0.0469,0.72,13,0.4,0.46,0.6147,0.1313
live_matched_to_mom_full,10,63,0.0325,0.0362,0.0605,0.54,7,-0.46,0.46,0.6147,0.1693
live_matched_to_mom_full,21,63,0.0287,0.0285,0.0477,0.6,3,0.27,0.556,0.45,0.1336
momentum_on_livebooks_full,1,68,0.0455,0.0536,0.0528,0.86,68,0.85,0.559,0.3961,0.1478
momentum_on_livebooks_full,5,68,0.1457,0.0516,0.082,1.78,14,-0.01,0.691,0.0022,0.2296
momentum_on_livebooks_full,10,68,0.2583,0.0357,0.0485,5.33,7,1.76,0.824,0.0,0.1358
momentum_on_livebooks_full,21,68,0.1912,0.0396,0.0567,3.37,4,0.37,0.735,0.0001,0.1587
