sizing,level,avg_n,cum_return,ann_sharpe,sharpe_ci95_lo,sharpe_ci95_hi,max_dd,ann_turnover,hit_rate,avg_cash
waterfill,N1,1.0,0.066,1.31,-1.9,4.44,-0.0551,109.74,0.495,0.5
waterfill,N3,3.0,0.0369,0.57,-2.71,3.76,-0.0585,134.06,0.441,0.274
waterfill,N5,5.0,0.0667,0.97,-2.18,4.31,-0.0672,126.63,0.484,0.255
waterfill,N7,7.0,0.0961,1.4,-1.78,4.62,-0.0711,120.56,0.538,0.24
waterfill,N10,9.8,0.1044,1.57,-1.6,4.74,-0.0417,114.09,0.559,0.227
waterfill,full,17.2,0.0995,1.48,-1.7,4.72,-0.0643,103.8,0.538,0.207
ew,N1,1.0,0.066,1.31,-1.9,4.44,-0.0551,109.74,0.495,0.5
ew,N3,2.6,0.0306,0.48,-2.81,3.65,-0.0675,130.25,0.452,0.255
ew,N5,4.7,0.0663,0.92,-2.27,4.22,-0.0718,122.4,0.484,0.24
ew,N7,6.8,0.1003,1.37,-1.83,4.56,-0.0808,114.84,0.548,0.224
ew,N10,9.5,0.098,1.41,-1.76,4.55,-0.0423,109.88,0.548,0.214
ew,full,16.7,0.0603,0.86,-2.29,4.16,-0.1026,98.9,0.527,0.193
bench,SPY,1.0,0.1148,2.29,-1.12,5.78,-0.0657,0.0,0.505,0.0
