date,polaris,polaris_alpha,orion,orion_alpha,lyra,spy,vix,regime,gap
2026-06-23,-0.0654725955,-0.0656675023,-0.0843274726,-0.0667232251,-0.0806891812,-0.014521954,,LOW?,False
2026-06-24,0.000840622,-0.0183303339,-0.0164613756,-0.021722252,-0.0062110016,-0.0004635171,19.1,LOW,False
2026-06-25,0.0592959741,0.0496056502,0.0640240176,0.0596903114,0.0711574089,0.0014456352,17.95,LOW,False
2026-06-26,-0.0605222335,-0.0710446308,-0.0823581595,-0.0802448116,-0.0771496188,-0.0072313736,20.19,ELEVATED,False
2026-06-29,0.0682569283,0.0451533005,0.0619408748,0.0498175731,0.0520208846,0.0164748624,18.4,LOW,False
2026-06-30,0.0286566196,0.0088172373,0.0197295941,-0.0039913664,0.0241724741,0.007786801,17.54,LOW,False
2026-07-01,-0.0796150234,-0.062160254,-0.0815773164,-0.0551227773,-0.0759420688,-0.0013525044,16.74,LOW,False
2026-07-02,-0.0737450987,-0.0621027394,-0.0824728284,-0.0645005736,-0.0706295835,-0.0013140695,16.69,LOW,False
2026-07-06,0.0241306135,0.0309587186,0.0302700692,0.0348554434,0.0398246043,0.0087274091,16.36,LOW,False
2026-07-07,-0.0533268895,-0.0538134207,-0.067559855,-0.0431055692,-0.0511519291,-0.0047518997,15.94,LOW,False
2026-07-08,0.017235084,0.0166145619,0.0209195869,0.0211079106,0.023655399,-0.0030894297,16.9,LOW,False
2026-07-09,0.0377389884,0.03028135,0.0422999721,0.0326357878,0.0387310108,0.00846525,16.03,LOW,False
2026-07-10,-0.000284271,-0.001167932,-0.0027762378,0.0045379625,-0.0079423978,0.0043101597,15.84,LOW,False
2026-07-13,-0.0449596884,-0.0410704649,-0.0527223211,-0.0360431207,-0.0446845146,-0.0076561749,16.31,LOW,False
