level,regime,n,sharpe,cagr,mean_bps,maxdd
top1,risk_on,2360,0.825,0.444,33.53,-0.87
top1,risk_off,407,0.23,-0.164,7.96,-0.715
top3,risk_on,2360,0.952,0.499,23.44,-0.636
top3,risk_off,407,0.02,-0.185,0.52,-0.633
top5,risk_on,2360,1.078,0.511,21.19,-0.495
top5,risk_off,407,0.383,0.05,9.01,-0.552
top10,risk_on,2360,1.049,0.401,16.46,-0.448
top10,risk_off,407,0.316,0.024,6.71,-0.446
full,risk_on,2360,0.762,0.109,4.55,-0.283
full,risk_off,407,1.066,0.379,15.42,-0.323
SPY,risk_on,2360,0.819,0.103,4.23,-0.272
SPY,risk_off,407,1.014,0.312,12.81,-0.259
