stage,top_n,cagr,sharpe,max_dd,ann_turnover,avg_names,start,end
R0_biased_claim_yfinance_static200_thru2026Q2,5,0.4602,1.27,-0.4118,36.804,4.59,2014-01-02,2026-04-15
R0_biased_claim_yfinance_static200_thru2026Q2,10,0.3141,1.101,-0.4307,35.809,9.18,2014-01-02,2026-04-15
B1_holdout_excluded_2014_2024,5,0.3489,1.105,-0.401,38.633,4.54,2014-01-02,2024-12-31
B1_holdout_excluded_2014_2024,10,0.2499,0.969,-0.4307,36.338,9.09,2014-01-02,2024-12-31
B2_price_source_SEP_static200,5,0.4005,1.193,-0.401,41.948,5.0,2014-01-02,2024-12-31
B2_price_source_SEP_static200,10,0.2883,1.054,-0.432,39.417,10.0,2014-01-02,2024-12-31
B3_survivorship_PIT_largecap,5,0.3953,0.908,-0.7016,50.254,5.0,2014-01-02,2024-12-31
B3_survivorship_PIT_largecap,10,0.3068,0.851,-0.5443,44.152,10.0,2014-01-02,2024-12-31
B4_exec_lag1_PIT_lookahead_test,5,0.3757,0.869,-0.636,50.254,5.0,2014-01-02,2024-12-31
B4_exec_lag1_PIT_lookahead_test,10,0.2572,0.754,-0.5494,44.152,10.0,2014-01-02,2024-12-31
