window,sizing,settled_cash,level,cagr,sharpe,sortino,max_dd,ann_turnover,avg_names,avg_cash,cost_drag_bps_yr,hit_rate,avg_hold_days
clean_2014_2024,ew,False,full,0.1448,0.786,0.984,-0.4044,0.19,1214.17,0.0,0.9,0.545,1799.7
clean_2014_2024,ew,False,top1,0.3344,0.748,1.29,-0.9214,54.553,1.0,0.0,272.8,0.4872,13.4
clean_2014_2024,ew,False,top10,0.3359,0.904,1.322,-0.5235,44.152,10.0,0.0,220.8,0.5417,16.3
clean_2014_2024,ew,False,top3,0.3714,0.808,1.338,-0.7426,49.514,3.0,0.0,247.6,0.5078,14.7
clean_2014_2024,ew,False,top5,0.4307,0.957,1.506,-0.6882,50.254,5.0,0.0,251.3,0.5313,14.4
clean_2014_2024,waterfill,False,full,0.1499,0.854,1.06,-0.3819,5.665,1214.17,0.05,28.3,0.5584,1799.7
clean_2014_2024,waterfill,False,top1,0.2922,0.748,1.29,-0.6651,27.276,1.0,0.5,136.4,0.4872,13.4
clean_2014_2024,waterfill,False,top10,0.3776,0.935,1.424,-0.5628,41.343,10.0,0.05,206.7,0.5295,16.3
clean_2014_2024,waterfill,False,top3,0.4132,0.85,1.438,-0.7526,45.517,3.0,0.05,227.6,0.5002,14.7
clean_2014_2024,waterfill,False,top5,0.441,0.941,1.518,-0.7387,45.75,5.0,0.05,228.8,0.5168,14.4
clean_2014_2024,waterfill,True,full,0.1499,0.854,1.06,-0.3819,5.665,1214.17,0.05,28.3,0.5584,1799.7
clean_2014_2024,waterfill,True,top1,0.2922,0.748,1.29,-0.6651,27.276,1.0,0.5,136.4,0.4872,13.4
clean_2014_2024,waterfill,True,top10,0.3529,0.906,1.371,-0.5697,35.97,10.0,0.0804,179.8,0.5276,16.3
clean_2014_2024,waterfill,True,top3,0.4448,0.895,1.503,-0.7281,37.347,3.0,0.0981,186.7,0.502,14.7
clean_2014_2024,waterfill,True,top5,0.452,0.966,1.545,-0.7098,38.225,5.0,0.0922,191.1,0.5179,14.4
compare_2014_2026H1,ew,False,full,0.1551,0.834,1.056,-0.4044,0.178,1218.08,0.0,0.9,0.5457,2011.0
compare_2014_2026H1,ew,False,top1,0.3953,0.74,1.586,-0.9456,51.19,1.0,0.0,256.0,0.4843,14.2
compare_2014_2026H1,ew,False,top10,0.4792,1.084,1.626,-0.5235,42.871,10.0,0.0,214.4,0.5445,16.9
compare_2014_2026H1,ew,False,top3,0.7094,1.065,1.984,-0.7426,48.395,3.0,0.0,242.0,0.509,15.0
compare_2014_2026H1,ew,False,top5,0.6863,1.183,2.002,-0.6882,49.126,5.0,0.0,245.6,0.5326,14.7
compare_2014_2026H1,waterfill,False,full,0.1821,0.937,1.26,-0.3819,6.046,1218.08,0.05,30.2,0.5585,2011.0
compare_2014_2026H1,waterfill,False,top1,0.3788,0.74,1.586,-0.6651,25.595,1.0,0.5,128.0,0.4843,14.2
compare_2014_2026H1,waterfill,False,top10,0.5633,0.935,1.855,-0.5868,39.539,10.0,0.05,197.7,0.5304,16.9
compare_2014_2026H1,waterfill,False,top3,0.6916,0.989,2.001,-0.7526,44.055,3.0,0.05,220.3,0.5013,15.0
compare_2014_2026H1,waterfill,False,top5,0.6791,1.008,2.017,-0.7387,44.006,5.0,0.05,220.0,0.5176,14.7
